,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
CD8_act,0.09368141289437586,0.21188271604938272,0.01590363511659808,0.18579389574759944,0.11741255144032922,0.04073216735253772,0.008273319615912208,0.003017832647462277,0.018681412894375856,0.20450102880658436,0.0031464334705075445,0.010776748971193415,0.0,0.006215706447187929,0.005375514403292181,0.054929698216735254,0.019675925925925927
CD8_eff,0.00017204301075268816,0.011698924731182796,0.022150537634408603,0.0024946236559139786,0.0067956989247311824,0.0004731182795698925,0.8666236559139785,0.02086021505376344,0.03716129032258064,0.0032688172043010754,0.0,4.301075268817204e-05,0.0,0.0,0.02825806451612903,0.0,0.0
CD8_ex,0.002056962025316456,0.004087552742616034,0.0012658227848101266,0.0008438818565400844,7.911392405063291e-05,5.2742616033755275e-05,0.00013185654008438817,0.0,0.00039556962025316455,0.0247626582278481,0.0013185654008438818,0.9488396624472574,0.00047468354430379745,0.0012921940928270043,0.00010548523206751055,0.013449367088607595,0.0008438818565400844
CD8_ex_act,0.0,0.01975717439293598,0.008609271523178808,0.017549668874172187,0.052097130242825605,0.030132450331125826,0.00011037527593818985,0.0,0.0,0.07317880794701986,0.28962472406181017,0.4725165562913907,0.03620309050772627,0.0,0.0002207505518763797,0.0,0.0
CD8_mem,0.10074979625101875,0.08816625916870416,0.042787286063569685,0.005313773431132845,0.6243683781581092,0.05986416734582994,0.008291225210540614,0.003428416191252377,5.433306166802499e-06,0.02110839445802771,0.0062048356424884545,0.0017386579733767997,0.00015213257267047,0.015088291225210541,0.013930997011681608,0.005661505025808204,0.0031404509644118446
