design,method,n_query,accuracy,macro_f1,macro_ovr_auc
A,scAtlasVAE (zero-shot),2000,0.5615,0.4599324250762123,0.9282335147697852
A,scAtlasVAE (full-shot),2000,0.5835,0.49415063074985816,0.9291901067366183
A,kNN on scVI latent,2000,0.6145,0.46853255849591124,0.8819249880862218
B,scAtlasVAE (zero-shot),5746,0.5146188652975984,0.42839656728405384,0.8962111179711755
B,kNN on scVI latent,5746,0.5167072746258267,0.3611022480151582,0.7978868586546968
