design,method,n_query,accuracy,macro_f1,macro_ovr_auc
A,scAtlasVAE (zero-shot),5240,0.5736641221374046,0.4951195482772455,0.9391896566324816
A,scAtlasVAE (full-shot),5240,0.5799618320610687,0.5061519814820156,0.9405833260288926
A,kNN on scVI latent,5240,0.6406488549618321,0.5103191583328723,0.9053060740022032
B,scAtlasVAE (zero-shot),19926,0.4975409013349393,0.419086055492733,0.903352221138789
B,kNN on scVI latent,19926,0.5307638261567801,0.37710157149346724,0.8133003017394946
