predicted_yost_label,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
CD8_act,2793,4321,1684,5421,3664,2417,1433,506,794,3190,290,156,0,356,122,3862,1459
CD8_eff,324,123,60,34,148,33,10011,1750,847,144,0,15,8,16,388,252,29
CD8_ex,244,2125,336,844,19,9,1,134,2000,2205,349,5358,1475,891,9,624,305
CD8_ex_act,0,200,0,443,13,751,27,3,4,4246,3415,3001,26,73,1856,367,21
CD8_mem,4741,5279,4933,1666,9432,5126,1166,67,1,2360,1544,91,731,817,682,3,506
