design,method,n_query,accuracy,macro_f1,macro_ovr_auc
A,scAtlasVAE (zero-shot),5240,0.4675572519083969,0.36912060787415085,0.8877154306035832
A,scAtlasVAE (full-shot),5240,0.48721374045801524,0.3669908921737002,0.898323276545411
A,kNN on scVI latent,5240,0.6406488549618321,0.5103191583328723,0.9053060740022032
B,scAtlasVAE (zero-shot),19926,0.3405600722673893,0.29569526503609245,0.8477446025215317
B,kNN on scVI latent,19926,0.5307638261567801,0.37710157149346724,0.8133003017394946
