,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
CD8_act,0.2240912208504801,0.1925497256515775,0.051688957475994515,0.06465192043895747,0.18840020576131689,0.02044753086419753,0.047702331961591224,0.0060270919067215364,0.011959876543209876,0.03094135802469136,0.001894718792866941,0.003532235939643347,6.858710562414266e-05,0.002091906721536351,0.0019118655692729766,0.14935699588477366,0.0026834705075445817
CD8_eff,0.0016344086021505377,0.020043010752688172,0.011096774193548388,0.005634408602150537,0.006021505376344086,0.016344086021505378,0.8546236559139785,0.000946236559139785,0.034193548387096775,0.010924731182795699,0.00012903225806451613,0.0007311827956989248,0.00021505376344086021,0.0,0.00012903225806451613,0.03587096774193548,0.0014623655913978495
CD8_ex,0.00018459915611814345,0.013264767932489452,0.005775316455696203,0.01139240506329114,0.007093881856540084,0.010864978902953586,0.0009493670886075949,7.911392405063291e-05,0.08575949367088608,0.15780590717299578,0.0245253164556962,0.6448312236286919,0.010680379746835443,0.00015822784810126583,0.02455168776371308,0.001160337552742616,0.0009229957805907173
CD8_ex_act,0.0009933774834437086,0.025275938189845474,0.011920529801324504,0.008057395143487859,0.03940397350993378,0.010596026490066225,0.0,0.0,0.0,0.010264900662251655,0.047240618101545256,0.7421633554083885,0.002869757174392936,0.08841059602649007,0.009271523178807948,0.0034216335540838854,0.00011037527593818985
CD8_mem,0.020179299103504484,0.08646563433849497,0.04386851399076338,0.017223580548763922,0.5402553653898398,0.1397826677533279,0.03426242868785656,0.0011029611518609073,0.0009290953545232274,0.06839445802770987,0.014316761749524586,0.0026623200217332247,0.0001901657158380875,0.005346373268133659,0.015647921760391197,0.0019722901385493073,0.007400162999185004
