,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
CD8_act,0.0330761316872428,0.2096622085048011,0.15753600823045266,0.14007201646090536,0.18214163237311384,0.015877914951989026,0.03998628257887517,0.0030092592592592593,0.0024176954732510287,0.023508230452674896,0.0030349794238683126,0.02246227709190672,0.00035150891632373114,0.00842764060356653,0.0002314814814814815,0.15707304526748972,0.0011316872427983538
CD8_eff,4.301075268817204e-05,0.007741935483870968,0.008,0.004,0.007010752688172043,0.0024946236559139786,0.9472688172043011,0.0066236559139784944,0.006236559139784947,0.006881720430107527,0.0,0.00021505376344086021,0.0,8.602150537634408e-05,0.00017204301075268816,0.0031397849462365592,8.602150537634408e-05
CD8_ex,0.003270042194092827,0.036286919831223625,0.0036656118143459917,0.005775316455696203,0.0024525316455696203,0.0020833333333333333,0.00010548523206751055,2.6371308016877638e-05,0.008306962025316455,0.11487341772151899,0.013343881856540084,0.5477056962025316,0.0011075949367088608,0.0007647679324894515,0.24409282700421941,0.007805907172995781,0.008333333333333333
CD8_ex_act,0.0,0.002317880794701987,0.010044150110375277,0.0033112582781456954,0.013355408388520972,0.005960264900662252,0.0,0.0,0.0,0.005408388520971303,0.02969094922737307,0.9032008830022075,0.0030905077262693157,0.004966887417218543,0.018432671081677704,0.0002207505518763797,0.0
CD8_mem,0.03290410214615594,0.11926650366748166,0.01795707688128226,0.02485194240695463,0.5605867970660147,0.11461016028253192,0.01952186905732138,0.011909807117631078,0.0018744906275468623,0.06299918500407498,0.008226025536538985,0.003178484107579462,0.0011953273566965498,0.009035588155392557,0.004726976365118174,0.002732953001901657,0.004422711219777235
