Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
X_pca,0.44232985,0.32296050214006905,0.21876153840806495,0.5025825,0.94151413,0.6220777,0.011402466,0.08005326978967817,0.6428843021924138,0.0,0.27128355264257314,0.4856297492980957,0.3998912706358867
X_scVI,0.46092346,0.32635243591039087,0.20396428358994054,0.5014023,0.9312668,0.6167293,0.05845058,0.14189332266722973,0.6625916589184608,0.0822584104957914,0.3123846581640686,0.4847818374633789,0.41582296574365474
X_scAtlasVAE_sup,0.51915836,0.3707757526072285,0.247185690888345,0.5053912,0.93408436,0.6213645,0.059633147,0.13454696230318586,0.7352846016148304,0.12985016668284413,0.33613586813860474,0.5153190612792968,0.44364578402302
X_minimal,0.47306147,0.3121410897464832,0.17609738860194188,0.50078154,0.932011,0.60176444,0.048875593,0.13549845816121905,0.6859066235689986,0.008940558853013302,0.2961971302833942,0.4788185119628906,0.40576995929109205
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
