n_cells,fit_seconds,peak_gpu_mb,sec_per_epoch,sec_per_10k_cells,setup_and_fit_seconds,data_load_seconds,runtime_import_seconds,model_setup_seconds,load_setup_fit_seconds,start_process_rss_mb,peak_process_rss_mb,peak_process_rss_delta_mb,start_process_working_set_mb,peak_process_working_set_mb,peak_process_working_set_delta_mb,start_process_private_mb,peak_process_private_mb,peak_process_private_delta_mb,peak_cuda_allocated_mb,peak_cuda_reserved_mb,process_memory_backend,process_memory_samples,process_memory_sample_interval_ms,process_memory_scope,worker_pid
10002,37.5260581,110.5888671875,1.876302905,37.51855438912218,38.0075856,2.5262617,20.3103482,0.48152359999999916,60.8480749,29.31640625,1569.15234375,1539.8359375,29.31640625,1569.15234375,1539.8359375,113.9609375,2263.5234375,2149.5625,110.5888671875,124.0,windows-ctypes,946,50.0,fresh_worker_load_setup_fit,19096
29999,107.48317039999999,109.716796875,5.37415852,35.82891776392547,108.72840930000001,1.8511235000000001,16.424333899999997,1.2452331,127.0054404,29.3046875,1733.5625,1704.2578125,29.3046875,1733.5625,1704.2578125,113.96484375,2440.18359375,2326.21875,109.716796875,144.0,windows-ctypes,2002,50.0,fresh_worker_load_setup_fit,27996
60005,122.89390510000001,110.17333984375,6.144695255,20.480610799100077,126.59629650000001,3.3192985999999998,22.5997684,3.702383400000002,152.5173397,29.32421875,1944.60546875,1915.28125,29.32421875,1944.60546875,1915.28125,113.9765625,2646.41015625,2532.43359375,110.17333984375,124.0,windows-ctypes,2380,50.0,fresh_worker_load_setup_fit,28644
100006,164.68001759999999,110.17333984375,8.23400088,16.46701373917565,169.4235286,2.242899,17.4935836,4.743507300000001,189.16171409999998,29.3125,2253.9296875,2224.6171875,29.3125,2253.9296875,2224.6171875,113.96484375,2959.7734375,2845.80859375,110.17333984375,132.0,windows-ctypes,2972,50.0,fresh_worker_load_setup_fit,30256
