,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
CD8_act,0.11113683127572016,0.15721879286694102,0.02001028806584362,0.15193758573388202,0.17356824417009603,0.058727709190672155,0.05012002743484225,0.0013117283950617284,0.014128943758573388,0.11801268861454046,0.004406721536351166,0.008770576131687243,0.0,0.00391803840877915,0.000462962962962963,0.11034807956104252,0.015920781893004114
CD8_eff,0.007655913978494623,0.004731182795698925,0.0015053763440860215,0.0003870967741935484,0.012559139784946237,4.301075268817204e-05,0.9113118279569893,0.0327741935483871,0.009935483870967743,0.002150537634408602,4.301075268817204e-05,0.0005591397849462365,0.0,0.0,0.015741935483870966,0.0006021505376344086,0.0
CD8_ex,0.001740506329113924,0.07882383966244726,0.1015295358649789,0.01809071729957806,0.006540084388185654,0.005854430379746835,2.6371308016877638e-05,0.0004219409282700422,0.05590717299578059,0.04161392405063291,0.002030590717299578,0.579298523206751,0.07529008438818566,0.024129746835443038,0.0,0.0011867088607594937,0.007515822784810127
CD8_ex_act,0.0,0.004856512141280353,0.00011037527593818985,0.003532008830022075,0.0016556291390728477,0.005960264900662252,0.0,0.0,0.0,0.11777041942604856,0.2554083885209713,0.5492273730684327,0.0,0.0,0.0576158940397351,0.003863134657836645,0.0
CD8_mem,0.06358054876392284,0.1175984786742733,0.19752241238793805,0.020255365389839717,0.48791089377886443,0.05422982885085575,0.011898940505297474,5.9766367834827494e-05,0.0,0.029269220320565063,0.0025536538983971747,0.0014832925835370824,0.0027112197772344473,0.0015430589513719098,0.007525129041021462,1.6299918500407498e-05,0.0018418907905460474
