Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
X_nlat2,0.41500348,0.2474467804553798,0.12124385153685442,0.45167145,0.83253235,0.42501113,0.15726471,0.05688286577563553,0.21463702063227275,0,0.1707591507740133,0.41357955932617185,0.3164513959053084
X_nlat10,0.47579533,0.3623330302034933,0.24647750985855849,0.50503963,0.93557966,0.58876115,0.049913045,0.12620286996943594,0.7225550159743643,0.0029912957230375033,0.29808467624959684,0.5050450325012207,0.42226089000057115
X_nlat50,0.5352594,0.4092641791031437,0.2684879323521666,0.5141266,0.94723266,0.67497027,0.026813902,0.08734060957667342,0.7825266293944385,0.22971665662267604,0.36027361782191314,0.534874153137207,0.46503393901108947
X_nowarmup,0.49781463,0.36112153323220286,0.24069258690998513,0.5060156,0.9371748,0.6118366,0.05612811,0.13277418279072725,0.7428946274103938,0.12876347313048936,0.33447939604315313,0.5085638523101806,0.4389300698033696
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
