design,method,n_query,accuracy,macro_f1,macro_ovr_auc
P,scAtlasVAE (zero-shot),5809,0.48872439318299193,0.2154977296272338,0.851307792509497
P,kNN on scVI latent,5809,0.5870201411602686,0.28949261240821167,0.7838651546604853
