,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
CD8_act,0.13707990397805211,0.18261316872427982,0.06157407407407407,0.0950017146776406,0.2724879972565158,0.03913751714677641,0.05811042524005487,0.008590534979423869,0.003978052126200274,0.0686985596707819,0.01345164609053498,0.01443758573388203,0.000925925925925926,0.009284979423868312,0.003909465020576132,0.02571159122085048,0.005006858710562414
CD8_eff,0.004,0.032559139784946234,0.05849462365591398,0.029720430107526882,0.10361290322580645,0.011569892473118279,0.6770322580645162,0.028129032258064516,0.024688172043010752,0.015483870967741935,0.0012903225806451613,0.0015483870967741935,0.0008172043010752689,0.0005591397849462365,0.004301075268817204,0.005118279569892473,0.001075268817204301
CD8_ex,0.005959915611814346,0.03438818565400844,0.03217299578059072,0.01395042194092827,0.03164556962025317,0.01832805907172996,0.0008438818565400844,0.0006856540084388186,0.003982067510548523,0.10102848101265823,0.056091772151898735,0.6417457805907173,0.022283755274261602,0.012895569620253164,0.003217299578059072,0.006645569620253164,0.014135021097046414
CD8_ex_act,0.0004415011037527594,0.011037527593818985,0.0228476821192053,0.02240618101545254,0.06754966887417219,0.06512141280353201,0.001434878587196468,0.0002207505518763797,0.0006622516556291391,0.0598233995584989,0.2525386313465784,0.46258278145695364,0.009823399558498896,0.003642384105960265,0.01379690949227373,0.004635761589403974,0.001434878587196468
CD8_mem,0.03798967671828307,0.10274381961423526,0.06777506112469438,0.030556913882097258,0.5702146155935887,0.07560445531105678,0.007861994023363216,0.010008149959250204,0.0009942950285248575,0.035772887802227656,0.015495789187720727,0.008394458027709861,0.0009345286606900299,0.011812007606628634,0.008079326270035317,0.005563705514805759,0.010198315675088292
