Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
X_pca,0.38774395,0.09197779168889886,0.04072953249510101,0.4494115,0.86245,0.7010791,0.061206557,0.20912208739586155,0.3665671416965152,0.0,0.2675949757737671,0.36646256446838377,0.3269155289905371
X_scVI,0.47033137,0.3172435203130631,0.18533718054688048,0.49951416,0.9252872,0.56424236,0.05691807,0.18537668383051437,0.6225946990562324,0,0.28582636609685014,0.4795426845550537,0.4020561571717723
X_scAtlasVAE_sup,0.47618622,0.3323649637477284,0.207803573930362,0.5003759,0.92597485,0.5959911,0.055821892,0.19525328051475266,0.6800966535681433,0,0.3054325809442342,0.4885411262512207,0.4152977081284261
X_minimal,0.46572006,0.3189595552913172,0.19450936683558095,0.5023897,0.9284338,0.5928371,0.0480803,0.14728984871107498,0.6400967908525652,0,0.2856608119901817,0.48200254440307616,0.40346585143791835
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
