design,method,n_query,accuracy,macro_f1,macro_ovr_auc
P,scAtlasVAE (zero-shot),5809,0.5751420210018936,0.3053313663543941,0.880000969672964
P,kNN on scVI latent,5809,0.5870201411602686,0.28949261240821167,0.7838651546604853
